Guidelines of Batch,https://d1d34p8vz63oiq.cloudfront.net/373e648a-0579-4218-a032-b060a0eac87f/master.mpd
How to find lectures?,https://d1d34p8vz63oiq.cloudfront.net/b857c796-3a30-4c78-8982-4a8a37063aa1/master.mpd
Demo Lecture By Meenu Gupta Ma'am,https://d1d34p8vz63oiq.cloudfront.net/649ad315-8481-4ec9-b20a-b78a645c31bf/master.mpd
Demo Lecture By Mohd Imran Sir,https://d1d34p8vz63oiq.cloudfront.net/db72ab24-a0db-42cb-9ac6-c6255499203d/master.mpd
Demo lecture by Kushal Anand Sir,https://d1d34p8vz63oiq.cloudfront.net/7b9860fd-e343-4670-bbe2-13a7a2a9055e/master.mpd
Demo Lecture By Ashutosh Sir,https://d1d34p8vz63oiq.cloudfront.net/e6ddc468-d537-4f96-9467-50177121ff4d/master.mpd
Demo Lecture By Lamiya Naseem Ma'am,https://d1d34p8vz63oiq.cloudfront.net/e5897dfe-d6ba-46b8-ac1c-3b35131e5593/master.mpd
Demo lecture by Alok Singh sir,https://d1d34p8vz63oiq.cloudfront.net/a80d541f-67a2-4a58-8412-4046c84aee79/master.mpd
Demo Lecture by Lokesh Sir,https://d1d34p8vz63oiq.cloudfront.net/42d0d480-85a4-41f2-9d4e-8b18c034a9c2/master.mpd
Demo Lecture By Shahnawaz sir (Thermodynamics),https://d1d34p8vz63oiq.cloudfront.net/706033fb-e473-4c5b-b704-d7762f8286ea/master.mpd
Demo Lecture By Shahnawaz sir (Fluid Mechanics),https://d1d34p8vz63oiq.cloudfront.net/2b10034d-4b82-4a6d-9b2d-34237ed5ec9f/master.mpd
Reasoning 23,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/84813821-00df-4fd5-bae4-091d510a358b.pdf
Reasoning 01,100 Most Expected Questions,https://www.youtube.com/embed/tbCfVImRgkE
Reasoning 02,100 Most Expected Questions,https://www.youtube.com/embed/_aaLwVPlGvY
Reasoning 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/996f9f77-6e4c-40e8-9e67-cd66e6973f4c.pdf
Reasoning 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/473d62f4-ffef-4a0b-abbd-26678106f903.pdf
History 01,Ancient History of India,https://www.youtube.com/embed/cLu45_3TkFQ
History 02,Medieval History of India,https://www.youtube.com/embed/aEcpzkO4nvg
History 03,Modern History of India,https://www.youtube.com/embed/MSmkEYEu5jI
History 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/1f99c324-35b2-4ab7-b551-c66e0a26eb59.pdf
History 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/3a03af91-fbd7-4e32-b2b6-f367cc2820d5.pdf
History 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/0898d04f-b5fb-4d63-a6ba-1090e98f3ee7.pdf
History + Polity + Geography(GK and GS) 01,100 Most Expected Questions,https://www.youtube.com/embed/7vJyaOaeBhI
History + Polity + Geography(GK and GS) 02,100 Most Expected Questions,https://www.youtube.com/embed/NCe2C65V31M
History + Polity + Geography(GK and GS) 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/cbbd7d83-f218-453f-9767-a8ddac5527f8.pdf
History + Polity + Geography(GK and GS) 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/c9aace5b-6173-4873-90d1-2cd447e7bf02.pdf
Polity  01,The Making of Indian Constitution,https://www.youtube.com/embed/CqAd3OPUyaY
Polity  02,Constitution of India (Part - I to IV),https://www.youtube.com/embed/CNRKBJuxLLM
Polity  03,Constitution of India (Union & State Government),https://www.youtube.com/embed/pyiPF6qNOEE
Polity  04,SC & HC, Panchayati Raj & Constitutional Bodies,https://www.youtube.com/embed/49zcIRlGZKo
Polity 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/c4fa691a-c303-44dc-b577-42e1549c303a.pdf
Polity 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/2bf23e2c-fedb-4631-8cca-802f0123e1af.pdf
Polity 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/920102be-802e-4e14-9334-5b0968937160.pdf
Polity 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/0b456e14-93a4-4418-9506-1aa4d33c56a2.pdf
Geography 01,Earth and Earth Inner Structure,https://www.youtube.com/embed/BpZ3xC9mQys
Geography 02,Ocean, Continents & Other Facts,https://www.youtube.com/embed/ALQ8e4rqsKE
Geography 03,Physical Features of India,https://www.youtube.com/embed/MBJ8_MyyDn0
Geography 04,Drainage System, Soil & Vegetation,https://www.youtube.com/embed/jCb8DUSuXPU
Geography 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/6e36bbe2-2ee2-466b-83d5-222ed21259c4.pdf
Geography 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/fbecb144-71e0-47a7-8302-4c1baa2ba864.pdf
Geography 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/2cabf2f0-5953-4869-8650-26460f33bad6.pdf
Geography 04,Class Notes,https://static.pw.live/5eb393ee95fab7468a79d189/f6d7da46-eb6f-42fb-a1d1-37804e8b5880.pdf
Physics 01,Part 01,https://www.youtube.com/embed/FJnCYGoYcyk?si=H0RQjd9Th1NItiHl
Physics 02,Part 02,https://www.youtube.com/embed/RVN6xQ8XeCM
Physics 03,Part 03,https://www.youtube.com/embed/_DAnC26cpN4
Physics 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/04c4ed33-6117-4e26-a3e7-8e644da5b6ba.pdf
